Date,AAPL,AMD,BAC,BBY,CVX,GE,HD,JNJ,JPM,KO,LLY,MRK,MSFT,PEP,PFE,PG,RRC,UNH,WMT,XOM
1999-12-31,0.78,14.469,13.73,13.903,18.311,169.861,42.544,25.559,25.841,15.273,33.675,27.077,36.341,19.762,13.673,29.242,1.971,5.398,45.392,19.362
2000-01-03,0.849,15.5,13.251,15.978,17.677,164.647,40.339,25.268,24.24,14.782,33.2,27.253,36.282,20.673,13.436,28.608,1.739,5.462,43.873,18.821
2000-01-04,0.778,14.625,12.465,15.874,17.677,158.061,38.212,24.343,23.708,14.798,32.156,26.296,35.057,20.147,12.936,28.058,1.701,5.392,42.231,18.461
2000-01-05,0.789,15.0,12.601,15.771,17.994,157.787,38.986,24.599,23.562,14.929,32.567,27.329,35.426,19.657,13.147,27.524,1.662,5.379,41.37,19.467
2000-01-06,0.721,16.0,13.679,15.632,18.76,159.896,37.129,25.37,23.896,14.946,33.517,27.555,34.24,20.533,13.621,28.792,1.701,5.576,41.821,20.474
2000-01-07,0.755,16.25,13.32,16.116,19.09,166.088,39.295,26.45,24.335,15.929,35.985,30.2,34.687,21.093,14.543,31.094,1.701,6.23,44.981,20.413
2000-01-10,0.742,17.5,12.858,15.944,18.575,166.019,39.102,25.781,23.917,15.421,34.498,29.318,34.94,20.673,14.517,30.944,1.662,6.122,44.16,20.128
2000-01-11,0.704,17.25,12.584,15.459,18.403,166.293,38.096,25.867,23.352,15.945,34.688,29.419,34.045,20.603,14.332,31.427,1.623,6.135,43.504,20.188
2000-01-12,0.662,18.125,12.721,15.062,18.337,166.842,37.787,25.627,23.499,16.126,34.181,29.998,32.936,20.358,14.806,31.227,1.585,6.078,42.724,20.068
2000-01-13,0.734,18.875,13.012,14.664,18.509,168.763,38.444,25.593,23.854,15.88,33.77,30.124,33.559,20.147,15.597,30.693,1.701,6.268,42.765,20.534
2000-01-14,0.762,20.188,13.815,15.165,18.39,165.745,38.328,25.679,24.711,16.011,34.593,29.873,34.94,20.288,15.597,31.227,1.817,6.262,42.355,20.128
2000-01-18,0.789,19.5,13.131,15.096,18.879,162.452,37.439,25.028,23.75,17.043,34.086,28.538,35.893,20.323,15.386,31.21,1.971,5.995,43.052,20.368
2000-01-19,0.809,19.594,13.131,15.701,18.588,163.24,38.289,25.113,24.795,17.109,34.308,28.815,33.306,20.428,15.597,30.878,2.01,6.046,42.067,20.564
