,Bitcoin,SnP 500
1991-07-01,,377.9200134277344
1991-07-02,,377.4700012207031
1991-07-03,,373.3299865722656
1991-07-05,,374.0799865722656
1991-07-08,,377.94000244140625
1991-07-09,,376.1099853515625
1991-07-10,,375.739990234375
1991-07-11,,376.9700012207031
1991-07-12,,380.25
1991-07-15,,382.3900146484375
1991-07-16,,381.5400085449219
1991-07-17,,381.17999267578125
1991-07-18,,385.3699951171875
1991-07-19,,384.2200012207031
1991-07-22,,382.8800048828125
1991-07-23,,379.4200134277344
1991-07-24,,378.6400146484375
1991-07-25,,380.9599914550781
1991-07-26,,380.92999267578125
1991-07-29,,383.1499938964844
1991-07-30,,386.69000244140625
1991-07-31,,387.80999755859375
1991-08-01,,387.1199951171875
1991-08-02,,387.17999267578125
1991-08-05,,385.05999755859375
1991-08-06,,390.6199951171875
1991-08-07,,390.55999755859375
1991-08-08,,389.32000732421875
1991-08-09,,387.1199951171875
1991-08-12,,388.0199890136719
1991-08-13,,389.6199951171875
1991-08-14,,389.8999938964844
1991-08-15,,389.3299865722656
1991-08-16,,385.5799865722656
1991-08-19,,376.4700012207031
1991-08-20,,379.42999267578125
1991-08-21,,390.5899963378906
1991-08-22,,391.3299865722656
1991-08-23,,394.1700134277344
1991-08-26,,393.8500061035156
1991-08-27,,393.05999755859375
1991-08-28,,396.6400146484375
1991-08-29,,396.4700012207031
1991-08-30,,395.42999267578125
1991-09-03,,392.1499938964844
1991-09-04,,389.9700012207031
1991-09-05,,389.1400146484375
1991-09-06,,389.1000061035156
1991-09-09,,388.57000732421875
1991-09-10,,384.55999755859375
1991-09-11,,385.0899963378906
1991-09-12,,387.3399963378906
1991-09-13,,383.5899963378906
1991-09-16,,385.7799987792969
1991-09-17,,385.5
1991-09-18,,386.94000244140625
1991-09-19,,387.55999755859375
1991-09-20,,387.9200134277344
1991-09-23,,385.9200134277344
1991-09-24,,387.7099914550781
1991-09-25,,386.8800048828125
1991-09-26,,386.489990234375
1991-09-27,,385.8999938964844
1991-09-30,,387.8599853515625
1991-10-01,,389.20001220703125
1991-10-02,,388.260009765625
1991-10-03,,384.4700012207031
1991-10-04,,381.25
1991-10-07,,379.5
1991-10-08,,380.6700134277344
1991-10-09,,376.79998779296875
1991-10-10,,380.54998779296875
1991-10-11,,381.45001220703125
1991-10-14,,386.4700012207031
1991-10-15,,391.010009765625
1991-10-16,,392.79998779296875
1991-10-17,,391.9200134277344
1991-10-18,,392.5
1991-10-21,,390.0199890136719
1991-10-22,,387.8299865722656
1991-10-23,,387.94000244140625
1991-10-24,,385.07000732421875
1991-10-25,,384.20001220703125
1991-10-28,,389.5199890136719
1991-10-29,,391.4800109863281
1991-10-30,,392.9599914550781
1991-10-31,,392.45001220703125
1991-11-01,,391.32000732421875
1991-11-04,,390.2799987792969
1991-11-05,,388.7099914550781
1991-11-06,,389.9700012207031
1991-11-07,,393.7200012207031
1991-11-08,,392.8900146484375
1991-11-11,,393.1199951171875
1991-11-12,,396.739990234375
1991-11-13,,397.4100036621094
1991-11-14,,397.1499938964844
1991-11-15,,382.6199951171875
1991-11-18,,385.239990234375
1991-11-19,,379.4200134277344
1991-11-20,,378.5299987792969
1991-11-21,,380.05999755859375
1991-11-22,,376.1400146484375
1991-11-25,,375.3399963378906
